a,a1 37
adaha,a1 130
ahratu,a1 230
alahhinatu,a1 330
amadibbukku,a2 21
anabu,a2 121
apu,a2 221
arqu,a2 321
ašabu,a2 421
atru,a2 521
ba,b 19
baqnu,b 119
belu,b 219
bubutu,b 319
daamu,d 15
danu,d 115
e,e 15
ellabuhu,e 115
epešu,e 215
erišu,e 315
eṭemmu,e 415
gaanu,g 15
gišgirru,g 115
haaru,h 15
harimama,h 115
hiru,h 215
i,i-j 17
ilu,i-j 117
isqu,i-j 217
itquru,i-j 317
ka,k 21
kalu,k 121
kalu,k 121
karamu,k 221
katamu,k 321
kipšu,k 421
kukru,k 521
kuššudu,k 621
kuššudu,k 621
la,l 21
laqatu,l 121
liptu,l 221
ma,m1 25
mahiru,m1 125
mammanama,m1 225
martu,m1 325
mašu,m1 425
me,m2 21
miqittu,m2 121
mundahṣutu,m2 221
mutittu,m2 321
naadu,n1 25
nadu,n1 125
nalbattu,n1 225
napištu,n1 325
nasahu,n2 23
našu,n2 123
niasi,n2 223
nitu,n2 323
paadu,p 31
papahhu,p 131
parṣu,p 231
paṭaru,p 331
pirištu,p 431
puhukaru,p 531
qabaltiu,q 25
qaqqadu,q 125
qatunu,q 225
qulpu,q 325
raabu,r 31
rakasu,r 131
rašu,r 231
reu,r 331
rubuiu,r 431
saabu,s 25
salimu,s 125
sattukku,s 225
sippu,s 325
suqu,s 425
ṣab,s_tsade 17
ṣaramu,s_tsade 117
ṣinnatu,s_tsade 217
ša,s_shin_1 29
šahšahhu,s_shin_1 129
šahšahhu,s_shin_1 129
šamaškilu,s_shin_1 329
šanu,s_shin_1 429
šaqalu,s_shin_2 29
šarru,s_shin_2 129
šattu,s_shin_2 229
šepu,s_shin_2 329
šibutu,s_shin_2 429
šimagu,s_shin_3 25
šiqu,s_shin_3 125
šuglu,s_shin_3 225
šumuttu,s_shin_3 325
šutepuru,s_shin_3 425
taalšu,t 31
tallu,t 131
taqribtu,t 231
tau,t 331
tikiandi,t 431
ṭabahu,tet 33
ṭepu,tet 133
u,u_w 33
umišam,u_w 133
uqnu,u_w 233
ušdu,u_w 333
walittu,u_w 433
za,z 17
zibbatu,z 117
